"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 06:25:05 GMT 2024","Tue Feb 27 06:25:48 GMT 2024","42730","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:27:00 GMT 2024","Tue Feb 27 06:27:12 GMT 2024","12134","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:30:13 GMT 2024","Tue Feb 27 06:37:24 GMT 2024","431132","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:37:24 GMT 2024","Tue Feb 27 06:39:10 GMT 2024","106013","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:28:00 GMT 2024","Tue Feb 27 06:28:13 GMT 2024","12483","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:28:13 GMT 2024","Tue Feb 27 06:28:25 GMT 2024","12325","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:28:48 GMT 2024","Tue Feb 27 06:29:01 GMT 2024","12380","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:27:48 GMT 2024","Tue Feb 27 06:28:00 GMT 2024","12406","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:27:12 GMT 2024","Tue Feb 27 06:27:24 GMT 2024","11875","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:26:12 GMT 2024","Tue Feb 27 06:26:24 GMT 2024","11982","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:29:50 GMT 2024","Tue Feb 27 06:30:01 GMT 2024","11565","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:28:38 GMT 2024","Tue Feb 27 06:28:48 GMT 2024","10978","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:29:26 GMT 2024","Tue Feb 27 06:29:38 GMT 2024","12442","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:29:01 GMT 2024","Tue Feb 27 06:29:13 GMT 2024","12512","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:26:36 GMT 2024","Tue Feb 27 06:26:48 GMT 2024","11953","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:30:01 GMT 2024","Tue Feb 27 06:30:13 GMT 2024","11521","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:29:38 GMT 2024","Tue Feb 27 06:29:50 GMT 2024","11476","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:27:36 GMT 2024","Tue Feb 27 06:27:48 GMT 2024","12355","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:26:24 GMT 2024","Tue Feb 27 06:26:36 GMT 2024","11984","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:26:00 GMT 2024","Tue Feb 27 06:26:12 GMT 2024","12079","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:26:48 GMT 2024","Tue Feb 27 06:27:00 GMT 2024","11914","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:25:48 GMT 2024","Tue Feb 27 06:26:00 GMT 2024","11985","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:28:25 GMT 2024","Tue Feb 27 06:28:37 GMT 2024","12338","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:29:13 GMT 2024","Tue Feb 27 06:29:26 GMT 2024","12454","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
"passed","Tue Feb 27 06:27:24 GMT 2024","Tue Feb 27 06:27:36 GMT 2024","11631","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述"
