"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 08 06:26:09 GMT 2024","Fri Mar 08 06:31:09 GMT 2024","300002","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","测试用例简要描述: {
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}"
"passed","Fri Mar 08 06:19:58 GMT 2024","Fri Mar 08 06:20:27 GMT 2024","28684","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功，成功用例条数：111，失败用例条数：0，错误信息：

"
"passed","Fri Mar 08 06:19:46 GMT 2024","Fri Mar 08 06:19:58 GMT 2024","12431","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功，成功用例条数：9，失败用例条数：0，错误信息：

"
"failed","Fri Mar 08 06:31:31 GMT 2024","Fri Mar 08 06:31:42 GMT 2024","11164","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试失败，命令执行失败
"
"failed","Fri Mar 08 06:31:20 GMT 2024","Fri Mar 08 06:31:31 GMT 2024","11057","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试失败，命令执行失败
"
"failed","Fri Mar 08 06:31:09 GMT 2024","Fri Mar 08 06:31:20 GMT 2024","10984","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试失败，命令执行失败
"
"passed","Fri Mar 08 06:19:17 GMT 2024","Fri Mar 08 06:19:46 GMT 2024","29034","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功，成功用例条数：55，失败用例条数：0，错误信息：
sh: ""####: unknown operand
sh: -c: unknown operand
sh: -c: unknown operand
sh: /aaa/bbb: unknown operand
sh: /aaa/bbb: unknown operand
sh: 1: unknown operand
sh: ls: unknown operand
abcnsh: ""abcn"": unknown operand
sh: 10: unknown operand
sh: 1: unknown operand
sh: ""####: unknown operand
sh: test.txt: unknown operand
sh: ""hello: unknown operand
2317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471sh: test.txt: unknown operand
sh: -c: unknown operand
sh: test.txt: unknown operand
2317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471sh: test.txt: unknown operand
2317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471sh: test.txt: unknown operand
sh: -C: unknown operand
sh: test.txt: unknown operand
sh: ""ccccccc"": unknown operand
sh: ""bbbbbbb"": unknown operand
sh: ""aaaaaaa"": unknown operand
sh: ""2222222"": unknown operand
sh: ""1111111"": unknown operand
sh: ""bbbbbbb"": unknown operand
sh: test.txt: unknown operand
sh: test.txt: unknown operand
sh: test.txt: unknown operand
sh: test.txt: unknown operand
sh: -f: unknown operand
2317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471123151125161231741714711231511251612317417147112315112516123174171471sh: test.txt: unknown operand
sh: test.txt: unknown operand
sh: test_dir: unknown operand
sh: test_dir: unknown operand
sh: test: unknown operand
sh: hello: unknown operand
sh: busybox_cmd.txt: unknown operand
sh: busybox_cmd.bak: unknown operand
sh: -name: unknown operand
"
"passed","Fri Mar 08 06:20:38 GMT 2024","Fri Mar 08 06:25:37 GMT 2024","298427","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
"passed","Fri Mar 08 06:20:27 GMT 2024","Fri Mar 08 06:20:38 GMT 2024","11384","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功，成功用例条数：6，失败用例条数：0，错误信息：
./cyclictest_testcode.sh: line 19: sleep: not found
./cyclictest_testcode.sh: line 32: sleep: not found
"
"passed","Fri Mar 08 06:25:37 GMT 2024","Fri Mar 08 06:26:09 GMT 2024","31951","testcase","test_arceos","","","","测试ArceOS 宏内核 基本功能","码仓提交信息===>{
""测试架构"": ""riscv64"",
""文件系统"": ""fat32"",
""提交者"": ""buhenxihuan"",
""提交ID"": ""aedb189169258d091715da0e6f7bc66bdf43c090"",
""提交时间"": ""Fri Mar  8 14:15:38 UTC 2024"",
""仓库名"": ""buhenxihuan/Starry"",
""分支名"": ""x86_64"",
""工作目录"": ""/home/runner/work/Starry/Starry""
}
用例结果信息===>测试成功
"
